label,used_a_invariants,sage_rank,sage_rank_error,pari_2_selmer_rank,pari_analytic_rank,has_rational_3_torsion,estimated_3_selmer_bound,notes
11a1,"[0, -1, 1, -10, -20]",0,,0,0,False,0,
14a1,"[1, 0, 1, 4, -6]",0,,0,0,True,0,
15a1,"[1, 1, 1, -10, -10]",0,,0,0,False,0,
17a1,"[1, -1, 1, -1, -14]",0,,0,0,False,0,
19a1,"[0, 1, 1, -9, -15]",0,,0,0,True,0,
20a1,"[0, 1, 0, 4, 4]",0,,0,0,True,0,
21a1,"[1, 0, 0, -4, -1]",0,,0,0,False,0,
24a1,"[0, -1, 0, -4, 4]",0,,0,0,False,0,
26a1,"[1, 0, 1, -5, -8]",0,,0,0,True,0,
26b1,"[1, -1, 1, -3, 3]",0,,0,0,False,0,
27a1,"[0, 0, 1, 0, -7]",0,,0,0,True,0,
30a1,"[1, 0, 1, 1, 2]",0,,0,0,True,0,
32a1,"[0, 0, 0, 4, 0]",0,,0,0,False,0,
33a1,"[1, 1, 0, -11, 0]",0,,0,0,False,0,
34a1,"[1, 0, 0, -3, 1]",0,,0,0,True,0,
35a1,"[0, 1, 1, 9, 1]",0,,0,0,True,0,
36a1,"[0, 0, 0, 0, 1]",0,,0,0,True,0,
37a1,"[0, 0, 1, -1, 0]",1,,1,1,False,1,
37b1,"[0, 1, 1, -23, -50]",0,,0,0,True,0,
38a1,"[1, 0, 1, 9, 90]",0,,0,0,True,0,
38b1,"[1, 1, 1, 0, 1]",0,,0,0,False,0,
39a1,"[1, 1, 0, -4, -5]",0,,0,0,False,0,
40a1,"[0, 0, 0, -7, -6]",0,,0,0,False,0,
42a1,"[1, 1, 1, -4, 5]",0,,0,0,False,0,
43a1,"[0, 1, 1, 0, 0]",1,,1,1,False,1,
44a1,"[0, 1, 0, 3, -1]",0,,0,0,True,0,
45a1,"[1, -1, 0, 0, -5]",0,,0,0,False,0,
46a1,"[1, -1, 0, -10, -12]",0,,0,0,False,0,
48a1,"[0, 1, 0, -4, -4]",0,,0,0,False,0,
49a1,"[1, -1, 0, -2, -1]",0,,0,0,False,0,
50a1,"[1, 0, 1, -1, -2]",0,,0,0,True,0,
50b1,"[1, 1, 1, -3, 1]",0,,0,0,False,0,
51a1,"[0, 1, 1, 1, -1]",0,,0,0,True,0,
52a1,"[0, 0, 0, 1, -10]",0,,0,0,False,0,
53a1,"[1, -1, 1, 0, 0]",1,,1,1,False,1,
54a1,"[1, -1, 0, 12, 8]",0,,0,0,True,0,
54b1,"[1, -1, 1, 1, -1]",0,,0,0,True,0,
55a1,"[1, -1, 0, -4, 3]",0,,0,0,False,0,
56a1,"[0, 0, 0, 1, 2]",0,,0,0,False,0,
56b1,"[0, -1, 0, 0, -4]",0,,0,0,False,0,
57a1,"[0, -1, 1, -2, 2]",1,,1,1,False,1,
57b1,"[1, 0, 1, -7, 5]",0,,0,0,False,0,
57c1,"[0, 1, 1, 20, -32]",0,,0,0,False,0,
58a1,"[1, -1, 0, -1, 1]",1,,1,1,False,1,
58b1,"[1, 1, 1, 5, 9]",0,,0,0,False,0,
61a1,"[1, 0, 0, -2, 1]",1,,1,1,False,1,
62a1,"[1, -1, 1, -1, 1]",0,,0,0,False,0,
63a1,"[1, -1, 0, 9, 0]",0,,0,0,False,0,
64a1,"[0, 0, 0, -4, 0]",0,,0,0,False,0,
65a1,"[1, 0, 0, -1, 0]",1,,1,1,False,1,
66a1,"[1, 0, 1, -6, 4]",0,,0,0,True,0,
66b1,"[1, 1, 1, -2, -1]",0,,0,0,False,0,
66c1,"[1, 0, 0, -45, 81]",0,,0,0,False,0,
67a1,"[0, 1, 1, -12, -21]",0,,0,0,False,0,
69a1,"[1, 0, 1, -1, -1]",0,,0,0,False,0,
70a1,"[1, -1, 1, 2, -3]",0,,0,0,False,0,
72a1,"[0, 0, 0, 6, -7]",0,,0,0,False,0,
73a1,"[1, -1, 0, 4, -3]",0,,0,0,False,0,
75a1,"[0, -1, 1, -8, -7]",0,,0,0,False,0,
75b1,"[1, 0, 1, -1, 23]",0,,0,0,False,0,
75c1,"[0, 1, 1, 2, 4]",0,,0,0,False,0,
76a1,"[0, -1, 0, -21, -31]",0,,0,0,False,0,
77a1,"[0, 0, 1, 2, 0]",1,,1,1,False,1,
77b1,"[0, 1, 1, -49, 600]",0,,0,0,True,0,
77c1,"[1, 1, 0, 4, 11]",0,,0,0,False,0,
78a1,"[1, 1, 0, -19, 685]",0,,0,0,False,0,
79a1,"[1, 1, 1, -2, 0]",1,,1,1,False,1,
80a1,"[0, 0, 0, -7, 6]",0,,0,0,False,0,
80b1,"[0, -1, 0, 4, -4]",0,,0,0,False,0,
82a1,"[1, 0, 1, -2, 0]",1,,1,1,False,1,
83a1,"[1, 1, 1, 1, 0]",1,,1,1,False,1,
84a1,"[0, 1, 0, 7, 0]",0,,0,0,True,0,
84b1,"[0, -1, 0, -1, -2]",0,,0,0,False,0,
85a1,"[1, 1, 0, -8, -13]",0,,0,0,False,0,
88a1,"[0, 0, 0, -4, 4]",1,,1,1,False,1,
89a1,"[1, 1, 1, -1, 0]",1,,1,1,False,1,
89b1,"[1, 1, 0, 4, 5]",0,,0,0,False,0,
90a1,"[1, -1, 0, 6, 0]",0,,0,0,True,0,
90b1,"[1, -1, 1, -8, 11]",0,,0,0,True,0,
90c1,"[1, -1, 1, 13, -61]",0,,0,0,False,0,
91a1,"[0, 0, 1, 1, 0]",1,,1,1,False,1,
91b1,"[0, 1, 1, -7, 5]",1,,1,1,True,1,
92a1,"[0, 1, 0, 2, 1]",0,,0,0,True,0,
92b1,"[0, 0, 0, -1, 1]",1,,1,1,False,1,
94a1,"[1, -1, 1, 0, -1]",0,,0,0,False,0,
96a1,"[0, 1, 0, -2, 0]",0,,0,0,False,0,
96b1,"[0, -1, 0, -2, 0]",0,,0,0,False,0,
98a1,"[1, 1, 0, -25, -111]",0,,0,0,False,0,
99a1,"[1, -1, 1, -2, 0]",1,,1,1,False,1,
99b1,"[1, -1, 1, -59, 186]",0,,0,0,False,0,
99c1,"[1, -1, 0, -15, 8]",0,,0,0,False,0,
99d1,"[0, 0, 1, -3, -5]",0,,0,0,False,0,
100a1,"[0, -1, 0, -33, 62]",0,,0,0,False,0,
101a1,"[0, 1, 1, -1, -1]",1,,1,1,False,1,
102a1,"[1, 1, 0, -2, 0]",1,,1,1,False,1,
102b1,"[1, 0, 0, -34, 68]",0,,0,0,False,0,
102c1,"[1, 0, 1, -256, 1550]",0,,0,0,True,0,
104a1,"[0, 1, 0, -16, -32]",0,,0,0,False,0,
105a1,"[1, 0, 1, -3, 1]",0,,0,0,False,0,
106a1,"[1, 0, 0, 1, 1]",0,,0,0,True,0,
106b1,"[1, 1, 0, -7, 5]",1,,1,1,False,1,
106c1,"[1, 0, 0, -283, -2351]",0,,0,0,True,0,
106d1,"[1, 1, 0, -27, -67]",0,,0,0,False,0,
