label,conductor,delta,rank,a_invariants_raw
11.a1,11,11,0,"[0, -1, 1, -7820, -263580]"
11.a2,11,161051,0,"[0, -1, 1, -10, -20]"
11.a3,11,11,0,"[0, -1, 1, 0, 0]"
14.a1,14,25088,0,"[1, 0, 1, -2731, -55146]"
14.a2,14,1835008,0,"[1, 0, 1, -171, -874]"
14.a3,14,941192,0,"[1, 0, 1, -36, -70]"
14.a4,14,98,0,"[1, 0, 1, -11, 12]"
14.a5,14,28,0,"[1, 0, 1, -1, 0]"
14.a6,14,21952,0,"[1, 0, 1, 4, -6]"
15.a1,15,405,0,"[1, 1, 1, -2160, -39540]"
15.a2,15,164025,0,"[1, 1, 1, -135, -660]"
15.a3,15,215233605,0,"[1, 1, 1, -110, -880]"
15.a4,15,15,0,"[1, 1, 1, -80, 242]"
15.a5,15,50625,0,"[1, 1, 1, -10, -10]"
15.a6,15,225,0,"[1, 1, 1, -5, 2]"
15.a7,15,15,0,"[1, 1, 1, 0, 0]"
15.a8,15,3515625,0,"[1, 1, 1, 35, -28]"
17.a1,17,17,0,"[1, -1, 1, -91, -310]"
17.a2,17,289,0,"[1, -1, 1, -6, -4]"
17.a3,17,83521,0,"[1, -1, 1, -1, -14]"
17.a4,17,17,0,"[1, -1, 1, -1, 0]"
19.a1,19,19,0,"[0, 1, 1, -769, -8470]"
19.a2,19,6859,0,"[0, 1, 1, -9, -15]"
19.a3,19,19,0,"[0, 1, 1, 1, 0]"
20.a1,20,2000,0,"[0, 1, 0, -41, -116]"
20.a2,20,4000000,0,"[0, 1, 0, -36, -140]"
20.a3,20,80,0,"[0, 1, 0, -1, 0]"
20.a4,20,6400,0,"[0, 1, 0, 4, 4]"
21.a1,21,147,0,"[1, 0, 0, -784, -8515]"
21.a2,21,21609,0,"[1, 0, 0, -49, -136]"
21.a3,21,45927,0,"[1, 0, 0, -39, 90]"
21.a4,21,17294403,0,"[1, 0, 0, -34, -217]"
21.a5,21,3969,0,"[1, 0, 0, -4, -1]"
21.a6,21,63,0,"[1, 0, 0, 1, 0]"
24.a1,24,18432,0,"[0, -1, 0, -384, -2772]"
24.a2,24,3072,0,"[0, -1, 0, -64, 220]"
24.a3,24,82944,0,"[0, -1, 0, -24, -36]"
24.a4,24,2304,0,"[0, -1, 0, -4, 4]"
24.a5,24,48,0,"[0, -1, 0, 1, 0]"
24.a6,24,13436928,0,"[0, -1, 0, 16, -180]"
26.a1,26,6656,0,"[1, 0, 1, -460, -3830]"
26.a2,26,17576,0,"[1, 0, 1, -5, -8]"
26.a3,26,26,0,"[1, 0, 1, 0, 0]"
26.b1,26,125497034,0,"[1, -1, 1, -213, -1257]"
26.b2,26,1664,0,"[1, -1, 1, -3, 3]"
27.a1,27,177147,0,"[0, 0, 1, -270, -1708]"
27.a2,27,243,0,"[0, 0, 1, -30, 63]"
27.a3,27,19683,0,"[0, 0, 1, 0, -7]"
27.a4,27,27,0,"[0, 0, 1, 0, 0]"
30.a1,30,81000,0,"[1, 0, 1, -5334, -150368]"
30.a2,30,5859375000,0,"[1, 0, 1, -454, -544]"
30.a3,30,9000000,0,"[1, 0, 1, -334, -2368]"
30.a4,30,33750,0,"[1, 0, 1, -289, 1862]"
30.a5,30,5314410,0,"[1, 0, 1, -69, -194]"
30.a6,30,72900,0,"[1, 0, 1, -19, 26]"
30.a7,30,1536000,0,"[1, 0, 1, -14, -64]"
30.a8,30,2160,0,"[1, 0, 1, 1, 2]"
32.a1,32,512,0,"[0, 0, 0, -11, -14]"
32.a2,32,512,0,"[0, 0, 0, -11, 14]"
32.a3,32,64,0,"[0, 0, 0, -1, 0]"
32.a4,32,4096,0,"[0, 0, 0, 4, 0]"
33.a1,33,395307,0,"[1, 1, 0, -146, 621]"
33.a2,33,88209,0,"[1, 1, 0, -11, 0]"
33.a3,33,297,0,"[1, 1, 0, -6, -9]"
33.a4,33,5845851,0,"[1, 1, 0, 44, 55]"
34.a1,34,48275138,0,"[1, 0, 0, -113, -329]"
34.a2,34,19652,0,"[1, 0, 0, -103, -411]"
34.a3,34,2312,0,"[1, 0, 0, -43, 105]"
34.a4,34,1088,0,"[1, 0, 0, -3, 1]"
35.a1,35,13671875,0,"[0, 1, 1, -131, -650]"
35.a2,35,35,0,"[0, 1, 1, -1, 0]"
35.a3,35,42875,0,"[0, 1, 1, 9, 1]"
36.a1,36,5038848,0,"[0, 0, 0, -135, -594]"
36.a2,36,6912,0,"[0, 0, 0, -15, 22]"
36.a3,36,314928,0,"[0, 0, 0, 0, -27]"
36.a4,36,432,0,"[0, 0, 0, 0, 1]"
37.a1,37,37,1,"[0, 0, 1, -1, 0]"
37.b1,37,37,0,"[0, 1, 1, -1873, -31833]"
37.b2,37,50653,0,"[0, 1, 1, -23, -50]"
37.b3,37,37,0,"[0, 1, 1, -3, 1]"
38.a1,38,2550136832,0,"[1, 0, 1, -86, -2456]"
38.a2,38,152,0,"[1, 0, 1, -16, 22]"
38.a3,38,3511808,0,"[1, 0, 1, 9, 90]"
38.b1,38,4952198,0,"[1, 1, 1, -70, -279]"
38.b2,38,608,0,"[1, 1, 1, 0, 1]"
39.a1,39,1053,0,"[1, 1, 0, -69, -252]"
39.a2,39,85683,0,"[1, 1, 0, -19, 22]"
39.a3,39,1521,0,"[1, 1, 0, -4, -5]"
39.a4,39,39,0,"[1, 1, 0, 1, 0]"
40.a1,40,5120,0,"[0, 0, 0, -107, -426]"
40.a2,40,6400,0,"[0, 0, 0, -7, -6]"
40.a3,40,80,0,"[0, 0, 0, -2, 1]"
40.a4,40,640000,0,"[0, 0, 0, 13, -34]"
42.a1,42,252,0,"[1, 1, 1, -1344, 18405]"
42.a2,42,933897762,0,"[1, 1, 1, -914, -10915]"
42.a3,42,63011844,0,"[1, 1, 1, -104, 101]"
42.a4,42,63504,0,"[1, 1, 1, -84, 261]"
42.a5,42,16128,0,"[1, 1, 1, -4, 5]"
42.a6,42,4218578658,0,"[1, 1, 1, 386, 1277]"
43.a1,43,43,1,"[0, 1, 1, 0, 0]"
44.a1,44,340736,0,"[0, 1, 0, -77, -289]"
44.a2,44,2816,0,"[0, 1, 0, 3, -1]"
45.a1,45,295245,0,"[1, -1, 0, -19440, 1048135]"
45.a2,45,119574225,0,"[1, -1, 0, -1215, 16600]"
45.a3,45,1.56905E+11,0,"[1, -1, 0, -990, 22765]"
45.a4,45,10935,0,"[1, -1, 0, -720, -7259]"
45.a5,45,36905625,0,"[1, -1, 0, -90, 175]"
45.a6,45,164025,0,"[1, -1, 0, -45, -104]"
45.a7,45,10935,0,"[1, -1, 0, 0, -5]"
45.a8,45,2562890625,0,"[1, -1, 0, 315, 1066]"
46.a1,46,16928,0,"[1, -1, 0, -170, -812]"
46.a2,46,23552,0,"[1, -1, 0, -10, -12]"
48.a1,48,18432,0,"[0, 1, 0, -384, 2772]"
48.a2,48,3072,0,"[0, 1, 0, -64, -220]"
48.a3,48,82944,0,"[0, 1, 0, -24, 36]"
48.a4,48,2304,0,"[0, 1, 0, -4, -4]"
